Respondent,angular/angular.js,asp.net,django,drupal,express,flask,jquery,laravel,other(s):,react.js,ruby on rails,spring,vue.js
146,,,,,,1.0,,,,,,,
147,1.0,,,,1.0,,,,,,,1.0,
148,,,,,1.0,,,,,1.0,,,
149,,,1.0,,,1.0,,,,1.0,,,
150,,1.0,,,,,1.0,,,,,,
151,1.0,,,,,,,,,1.0,,,
152,,,,,,,,,,,,,
153,,,,,,,,,,,,,
154,,1.0,,,,,1.0,,,,,,
155,,,,,1.0,,,,,1.0,,,
156,,,,,,,,,,,,,
157,,1.0,,,,,,,1.0,,,,1.0
158,,,,,,,,,1.0,,,,
159,,,1.0,,,,,,,1.0,,,
160,,1.0,,,,,,,,,,,
161,,,,,,,1.0,1.0,,,,,
162,,,,,,,1.0,,,,,1.0,
163,,1.0,,,,,1.0,,,1.0,,,
164,,1.0,,,,,1.0,,,,,,1.0
165,1.0,,,,,,1.0,,,,,,
166,,,,,,,1.0,,,1.0,1.0,,
167,,,,,,,1.0,,,,,,
168,,,,,,1.0,,,,,,,1.0
169,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0
170,,,,,,,,,,1.0,,,
171,,1.0,,,,,,,,,,,
172,,,,,,,1.0,,,,,,
173,1.0,,,,1.0,,,,,1.0,,,
174,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,
175,,,,,,,,,,,,,
176,1.0,,1.0,,,1.0,,,,1.0,,,1.0
177,,1.0,,,,,,,,,,,
178,1.0,,,,,,1.0,,,,,,
179,,,,,,,,,,1.0,,,
180,,,,,,,,,,,,,
181,1.0,,,,,,,,,,,,
182,,,,,,,1.0,,,,,,1.0
183,,,,,,,,,,,,,
184,,,,,,,,,1.0,,,,
185,,,,,,,,,,,,,
186,,,,,,,1.0,,,1.0,,,
187,,,,,,,,,,1.0,1.0,,
188,,1.0,,,,,,,,,,,
189,,,,,,,,,,,,,
190,1.0,,,,,,,,,,,1.0,
191,1.0,1.0,,,,,,,,,,,
192,,,1.0,,,,,,,1.0,,,
193,,,,,,,1.0,,,,1.0,,
194,,,,,,,1.0,,,,,,
195,1.0,1.0,,,,,,,,,,,
196,,1.0,,,,,1.0,,,,,,
197,,,,,,,,,,,,,
198,,,,,,1.0,1.0,,,,,,1.0
199,,,,,,,,,,,,,
200,,,,,,,,,,,,,
201,,,1.0,,,1.0,1.0,,,,,1.0,
202,1.0,,,,,,1.0,,,,,,
203,,,,,,,1.0,1.0,,,,1.0,
204,,,,,,,,,,,,,
205,,,,,,,1.0,,,1.0,,,1.0
206,,,,,,,,,,,,,
207,,,,,,,,,,,,,
208,,,,,,,,,,,,,
209,,,,,,,,,,,,,
210,,,,,,1.0,,,,,,,
211,,1.0,,,,,1.0,,,,,,
212,,,,,,,1.0,,1.0,,,,
213,,,1.0,,,1.0,,,,,,,
214,,,,,,,,,,,,,
215,,,,,,,,,,,,,
216,,,,,,,,,,,,1.0,
217,,,,,,,1.0,,,1.0,,,
218,,,,,,,1.0,,1.0,1.0,,,
219,,1.0,,,,,1.0,,,,,,
220,,1.0,,,,,1.0,,,,,,
221,,,,,,,1.0,,,,,,
222,,,,,1.0,,,,1.0,,,,
223,,,,,,,,,,,,,
224,,,,,,,,,,,,,
225,,,,,,,,,,,,,
226,1.0,,,,1.0,,,1.0,,,,,1.0
227,,,,,,1.0,1.0,,,,,,
228,,,,,,,1.0,1.0,,,,1.0,
229,1.0,,,,,,,,,,,,
230,,,,,,,,,,,,,
231,,,,,,,,,,,1.0,,1.0
232,,1.0,,,,,1.0,,,,,,
233,,,,,,,,,,,,,
234,,,,,,,,,,,,,
235,,,,,,,,,,,,,
236,,,,,,,,,,,,,
237,,,,,,,,,,,,,
238,,,,,,,1.0,1.0,,,,,1.0
239,1.0,1.0,,,1.0,,1.0,,,1.0,,,
240,,,,,,,,,,,,,
241,,,,,,,1.0,,,,,,
242,1.0,,,,,,1.0,,,,,1.0,
243,,,,,,,1.0,,,,,,
244,,,,,,,,,,,,,
245,1.0,,,,,,,,,,,,
246,1.0,1.0,,,,,1.0,,,,,,1.0
247,,,,,,,,,,,,,
248,,,,,,1.0,1.0,,,1.0,,1.0,
249,,1.0,,,,,,,,,,1.0,
250,,,,,,,,,,,,,
251,,1.0,,,,,1.0,,,,,,
252,,,,,,,,,,,1.0,,
253,,,,,,,,,1.0,1.0,,,
254,1.0,1.0,,,,,,,,,,,
255,,,,,,,1.0,,,,,,
256,,,,,,,,,,,,,
257,,,,,,,,,,,,,
258,,,,,,,,,1.0,,,,
259,1.0,1.0,,,,,1.0,,,,,,
260,,,,,,,1.0,,,,,1.0,
261,,,,,,,,,,1.0,,,
262,1.0,1.0,,,1.0,,,,,1.0,,,
263,,,,,,,,,,,,,
264,,,,,,1.0,1.0,,,,,,
265,,,,,,,1.0,,,,,,
266,,,,,,,,,,,,,
267,,,1.0,,1.0,,,,,1.0,1.0,,
268,,,,,,,,1.0,,,1.0,,
269,,1.0,,,,,1.0,,,,,,
270,,,1.0,,,,,,,,,,
271,1.0,1.0,,,,,1.0,,,,,,
272,,1.0,,,,,,,,,,,
273,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,
274,,,,,,,,,,,,1.0,
275,1.0,1.0,,,1.0,,,,,,,,
276,,,,,,,,,1.0,1.0,,1.0,
277,,,,,,1.0,,,,,,,
278,,1.0,,,,,,1.0,,,,,1.0
279,,,1.0,,,1.0,,,1.0,,,,1.0
280,1.0,1.0,,,,,,,,,,,
281,1.0,1.0,,,,,,,,,,,
282,,,,,,,,,,,,,
283,1.0,,,,1.0,,1.0,,,1.0,,,
284,,,,,,,,,,,,,
285,1.0,1.0,,,1.0,,1.0,1.0,,,,,
286,,,,,,,,,1.0,,,,1.0
287,,,,,,,,,,,,,
288,,,,,1.0,,,,,1.0,,,
289,,,,,,,1.0,,1.0,,,,
290,,,1.0,,,1.0,,1.0,,,,,
291,1.0,,1.0,,,,,,,,,,
292,,1.0,,,,,1.0,,,1.0,,,1.0
293,,,,,,,,,,,,1.0,
294,,,,,,,,,,,,,
295,1.0,1.0,,,1.0,,,,,,1.0,1.0,
296,,,,,,,,,,,,1.0,
297,1.0,,,,,,,,,,,,
298,,1.0,,,,,1.0,,,1.0,,,1.0
299,,,,,,,,,,,,,
300,,,,,,,1.0,,,,,1.0,
301,1.0,1.0,,,1.0,,1.0,,,1.0,,,
302,,1.0,,,,,,,,,,,
303,,,,,1.0,,,1.0,1.0,1.0,,,
304,,,,,,,,,,,,,1.0
305,,1.0,,,,,1.0,,,,,,
306,1.0,,,,,1.0,1.0,,,,,,
307,,,,,,,1.0,,,,,,
308,,,,,1.0,,,,,1.0,1.0,,
309,,,,,,,,,,,,,
310,,1.0,,,,,1.0,,,,,,
311,,1.0,1.0,,1.0,,,,,,,1.0,
312,,,,,,,,,,,1.0,,
313,,,,,,,,,,,,,
314,,,,,,,,,,,,,
315,1.0,,,,,1.0,,,,,,1.0,
316,1.0,,,,1.0,,1.0,,,1.0,,1.0,
317,,,,,,,,,,,,1.0,
318,1.0,,,,,,,,,,,,
319,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0
320,1.0,1.0,,,,,,,1.0,1.0,,,
321,,,,,,,1.0,,,1.0,1.0,,
322,,1.0,1.0,,,,,,,,,,
323,1.0,1.0,,,,,1.0,,,,,,
324,1.0,1.0,,,,,,,,,,,
325,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0
326,1.0,,,,,1.0,1.0,,,,,,1.0
327,,,,,,,,,,,,,
328,,,,,1.0,,1.0,,,1.0,,1.0,
329,1.0,1.0,,,1.0,,,,,1.0,,,
330,,,,,,,,1.0,,,1.0,1.0,
331,,,,,,,,,,,,,
332,,,,,,,,,,1.0,,,
333,,,,,,,,,,,,,
334,,,,,,1.0,,,,,,,
335,,1.0,,,,,1.0,,,,,,
336,,,,,1.0,,,,,,,,
337,,,,,,,,,,,,,
338,,,,,,,,,,,,,
339,,,1.0,,1.0,1.0,1.0,,,1.0,,,
340,,1.0,,,,,1.0,,,,,,
341,,1.0,,,,,,,,,,,
342,1.0,,,,,,,,,,,1.0,
343,,,,,,,,,,,,,
344,,1.0,,,,,1.0,,,,,,
345,1.0,,,,1.0,,,,,,,1.0,
346,,,,,,,,,,,,,
347,,,,,,,,,,,,,
348,,,,,,,1.0,,,,,,
349,,,,,,,,,,,,,
350,,,,,,,1.0,,,,1.0,,1.0
351,,,,,,,,,,,,1.0,
352,,,,,,,,,,1.0,1.0,,
353,,,,,,,,,,1.0,,,1.0
354,1.0,,,,1.0,,1.0,,,1.0,,,
355,,,,,,,,,,1.0,,1.0,
356,,,1.0,,,,1.0,,,1.0,,,
357,,,,,,,,,,1.0,,,
358,1.0,,,,,,,,,,,,
359,,,,,,,,,1.0,,,,
360,1.0,,1.0,,,,,,,,,,1.0
361,,,,,1.0,,1.0,,,1.0,,,1.0
362,,,,,,,1.0,,1.0,,,1.0,
363,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,
364,1.0,,,1.0,,,1.0,,,1.0,,,
365,,,,,,,,,,,,,
366,,,,,,,,,,,,,
367,,,,,,,,,,,,,
368,,,,,,,,,1.0,,,,
369,,,,,,,,,,,,,
370,,,,,,,,,,,,,
371,,,,,,,,,,,,,
372,,,,,,,1.0,,,,,,
373,,1.0,,,,,1.0,,,,,,
374,,,,,,1.0,,,,,,,
375,,,1.0,,,,,,,,,,
376,,,,,,,,,,,,,
377,,1.0,,,,,1.0,,1.0,,,,
378,1.0,1.0,,,,,1.0,,,,,,
379,,,,,,,,,,,,,
380,,,1.0,,,,,,,,,,
381,,1.0,1.0,,,1.0,,,,,,,1.0
382,,,,,,,1.0,1.0,,,,,
383,,,,,,,,,,,,,
384,,,,,,,,,,1.0,,,1.0
385,,,,,,,,,,1.0,,,
386,,,,,,,1.0,,,,,,
387,,,,,,,1.0,1.0,,,,1.0,
388,,,,,1.0,,1.0,,,,,1.0,1.0
389,,,,,,,,,,1.0,1.0,,
390,,,,,,,,,,,,,
391,,,,,,,1.0,1.0,,,,,1.0
392,,1.0,,,,1.0,1.0,,1.0,1.0,,,
393,,,,,,,,,,,,,
394,,1.0,,,1.0,,,,,,,,
395,,,,,,,1.0,,,1.0,,1.0,
396,,,,,,,,,1.0,1.0,,,
397,,,,,,,,,,,,,
398,,,,,,,,,,,,,
399,,,,,,,,,,,,,
400,,,,,,,1.0,,,,,,
401,,,,,,,1.0,,,1.0,1.0,,
402,,,,,,,,,,,,,
403,,,,,,,,,,,,,
404,,,,,,,,,,,,,
405,1.0,,,,,,1.0,,,,,,1.0
406,1.0,,,,,,,1.0,,1.0,,,
407,,,,,,,,,,,,,
408,1.0,,,,,,1.0,,,1.0,,,1.0
409,,,,,,,1.0,1.0,,1.0,,,1.0
410,,1.0,,,,,1.0,,,1.0,,,
411,,,,,,,1.0,,,,,,
412,,,1.0,,,,,,,,,,1.0
413,,,,,,,1.0,1.0,1.0,1.0,,,1.0
414,,,1.0,,,1.0,,,,1.0,,,
415,,,,,,,,,,,1.0,,1.0
416,,1.0,,,1.0,,1.0,,,1.0,,,
417,,,,,1.0,,1.0,1.0,,,,,
418,,,,,,,,,,,,,
419,,,1.0,,,,,1.0,,1.0,,,
420,,,,,,,1.0,,,,,,
421,,,,,,,1.0,,,1.0,,,1.0
422,,,,,,,,,,,,,
423,,,,,,,,,,,,,
424,,,,,,,,,,,,,
425,,,,,,,,,,,,,
426,,,,,,,1.0,,,,,1.0,
427,,1.0,,,,,1.0,,,,,,
428,,,,,,,,,,,,1.0,
429,,1.0,,,,,,,,,,,
430,,,,,,,,,,,,,
431,,,,,,,,,,,,,
432,1.0,,,,1.0,,1.0,,,1.0,,1.0,
433,,,,,,,,,,1.0,,,
434,,1.0,,,,,1.0,,,,,,
435,,1.0,,,1.0,,,,,1.0,,,
436,,,,,,,1.0,1.0,,1.0,,,1.0
437,1.0,1.0,,,,,1.0,,,,,,
438,,,,,1.0,,1.0,,,1.0,,,
439,1.0,1.0,,,,,1.0,,,,,,1.0
440,1.0,,,,,,,,,1.0,,,
441,,1.0,,,,,,,,1.0,,,
442,,,,,,,1.0,,,,,,1.0
443,,,,,,,,,,1.0,,,
444,,,,,,,,,,,,,
445,,1.0,,,,,,,,,,,
446,,,,,,,,,,,,1.0,
447,,,1.0,,,,,,,,,1.0,
448,,,,,,,,,,,,,
449,1.0,1.0,,,,,,,,,,,
450,1.0,,,,,,1.0,,,1.0,,,
451,,,,,,,1.0,,,,,,
452,,,,,,,,,,,,,
453,,1.0,,,,,,,,,,,
454,,,,,,,,,,,1.0,,
455,,,,,,,,,1.0,,,,
456,,,,,,,,,,,,,
457,,,,,,,,,,1.0,,,
458,,,1.0,,,,,,,1.0,,,
459,,,,,,,,,,,,,
460,,,1.0,,,,,1.0,,1.0,,,
461,1.0,,,,,,1.0,,,,,,
462,,,,,,1.0,1.0,,,,,1.0,1.0
463,1.0,,,,1.0,,1.0,,,1.0,,,
464,,,1.0,,,,,,,,,,
465,1.0,1.0,,,,,,,,,,,
466,,,,1.0,,,1.0,,,1.0,,,
467,,,,,,,,,,,,1.0,
468,,,,,,,1.0,,,,,1.0,
469,,,,,,,1.0,1.0,,,,,
470,,,,,,,1.0,,,1.0,1.0,,1.0
471,,,,,1.0,,1.0,,,,,,
472,1.0,,1.0,,1.0,1.0,,,,,,,1.0
473,,1.0,,,,,1.0,,,,,,
474,,,,,,,,,1.0,,,,
475,1.0,1.0,,,,,1.0,,,,,,1.0
476,,,,,,,,1.0,,,,,
477,,,,1.0,1.0,,1.0,1.0,,1.0,,,1.0
478,,,,,,,1.0,,,,1.0,,
479,,1.0,,,,,1.0,,1.0,,,,
480,1.0,,,,,,,,,,,,
481,,,,,,,,,,,,,
482,,,,1.0,,,,,,,,,
483,,,,,1.0,,1.0,,,,,,
484,,,1.0,,,,,1.0,,,,1.0,
485,,,,,,,,,,,,,
486,,,,,1.0,,,,,1.0,,,
487,,,,,,,1.0,,,,,,
488,,1.0,,,,,,,,,,,
489,,,,,,,,,,,,,
490,,,,,1.0,,1.0,,,1.0,1.0,,
491,,,,,,,,,,,,,
492,,,,,,,,,,,,,
493,,,,,,,,,,,,,
494,,,,,,,,,,,,,
495,,,,,,,,,,,,,
496,,,,,,,,,,,,,
497,1.0,,,,,,,,1.0,1.0,,,
498,,,,,1.0,,1.0,,,,,,
499,1.0,,,,,,,,,1.0,,,1.0
500,,,,,,,,,,,,,
501,,,,,,,,,,,,,
502,,,,,,,,,,,,,
503,,,,,,,1.0,,,,,,
504,,,1.0,,,1.0,,,1.0,,,,
505,1.0,,,,1.0,,1.0,,,,,,
506,,,,,,,,,,,,1.0,
507,1.0,,,,,,1.0,,,,,,
508,,,,,1.0,,,,,1.0,,,
509,,,1.0,,,1.0,1.0,1.0,,,,,1.0
510,,,1.0,,,,1.0,,,1.0,,,
511,,,,,1.0,,,,,1.0,,,
512,,,,,,,,,,,,,
513,,,,,,,,,,,,,
514,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,1.0
515,,,,,,,1.0,,,,,,
516,,,,,,,,,,,,,
517,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,
518,,,,,,,1.0,,,,,,
519,,,,,,,,,1.0,,,,
520,,,,,,,1.0,,,1.0,,1.0,
521,1.0,,,,,,1.0,,,1.0,,,1.0
522,,,,,,,,,,,,,
523,,,1.0,,,,,,,1.0,,,
524,,,,,,,1.0,,1.0,,,,
525,,1.0,,,,,,,,,,,
526,1.0,1.0,,,,,,,,,,,1.0
527,,,,,,,1.0,,,1.0,,,
528,,,1.0,,,,,,,,,1.0,
529,1.0,,1.0,1.0,1.0,,1.0,,,,,,
530,,,,,,,,,,,,,
531,,,,,,,,,,,,,
532,,,,,,,,,,,,,
533,1.0,,,,,,,,,1.0,,,
534,,,,,,,,,,,,,
535,,,,,,,,,,,,,
536,,1.0,,,,,1.0,,,1.0,,,
537,1.0,1.0,,,,,,,,,,,
538,1.0,,,,1.0,,1.0,,,,,,
539,,,,,1.0,1.0,,,,1.0,,,
540,,,,,,1.0,,,,,,,
541,,1.0,,,1.0,,1.0,,,1.0,,,
542,,,1.0,,,1.0,,,,,,,
543,1.0,,,,,,,1.0,,,,1.0,
544,,,,,,1.0,1.0,1.0,,,,,
545,,,,,,,1.0,1.0,,,,,
546,,,,,,,,,,,,,
547,,1.0,,,,,1.0,,,1.0,,,
548,,,,,,,,,,,,,
550,1.0,1.0,,,,,1.0,,,,,,
551,1.0,,,,,,1.0,,,1.0,,1.0,
552,,,,,,,1.0,,,,,,
553,,1.0,,,,,1.0,,,,,,
554,1.0,,,,,,1.0,,1.0,,,,
555,,1.0,,,,,1.0,,,,,,
556,,,,,1.0,1.0,1.0,,,1.0,,,
557,,,,,,,,,,,,,
558,1.0,,,,,,,,,1.0,,1.0,1.0
559,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,
560,1.0,1.0,,,,,1.0,,,,,,1.0
561,,,1.0,,,,1.0,,,,1.0,,
562,,1.0,,,,,,,,,,,
563,,,,,,,,,,,,,
564,,,,,,,,,,,,,
565,,,,,,,,1.0,,,,,1.0
566,,,,,,,1.0,,,,,,1.0
567,,,,,,,,,,,,,
568,,,,,,,1.0,1.0,,,,,1.0
569,,,,,,1.0,,,,,,,
570,,,,,,,,,,,,,
571,,,,,,,,,,,,,
572,1.0,,,,,,,,,,,,1.0
573,,,,,,,,,,,,,
574,,,1.0,,,,1.0,,,,1.0,,
575,,,,,,1.0,,,,,,,
576,1.0,,,,1.0,,1.0,,,,1.0,,
577,,,,,,,,,,,,,
578,,,,,,,1.0,,,1.0,,,
579,,,,,,,1.0,,,,,,
580,,,,,,,,,,1.0,,1.0,
581,,,,,,,1.0,1.0,,,,,1.0
582,1.0,,1.0,1.0,,,1.0,,,,,1.0,
583,1.0,,,,,,,,,,,,
584,,,1.0,,,,,,,,,,
585,,,,,,,,,,,,,
586,,,,,,,,,,,,1.0,
587,,,,,,,,,,,,,1.0
588,1.0,1.0,,,,,,,,1.0,,,
589,,1.0,,,,,1.0,,,,,,
590,,1.0,,,,,,,,1.0,,,
591,1.0,1.0,,,,,,,,,,,
592,,,1.0,,,,,,,,,,
593,,,,,,,,,,,,,
594,,,,,,,1.0,,,,,,
595,1.0,1.0,,,,,1.0,,,,,,
596,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0
597,,,,,,,,,,,,,
598,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0
599,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0
600,,,,,,,,,,,,,
601,,,,,,,,1.0,,,,,
602,,,1.0,,,,1.0,1.0,,1.0,,,
603,,,,,,,,,,,,1.0,
604,,1.0,,,,,1.0,1.0,,,,,1.0
605,,,,,,,,,,,,,
606,1.0,,,,1.0,,1.0,,,,,,
607,,1.0,,,,,,,,,,,
608,,,1.0,,,,,,,,,,
609,,,,,,,,,,1.0,,,
610,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,
611,1.0,,,,,,1.0,1.0,,1.0,,,1.0
612,,,,,,,,,,,,,
613,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,1.0
614,,,,,,,,,,,,1.0,
615,,1.0,1.0,,,,,,,,,,
616,,,,,,,,,,,1.0,,
617,,,,,1.0,,,,,1.0,,1.0,
618,,,,,,,,,,,,,
619,,1.0,,,,,1.0,1.0,,,,,
620,1.0,,,,1.0,,1.0,,,,,1.0,1.0
621,,,,,,,,,,,,,
622,,,,,,,1.0,,,,,1.0,
623,,,,,,,,,,,,,
624,,,,,,,,,,,,,
625,,,,,1.0,,,,,,,,
626,,,,,,,1.0,,,,,1.0,
627,,,,,,,1.0,,,,1.0,,
628,,,,,,,,,,1.0,,,
629,,,,,,,,,,,,,
630,,1.0,,,,,1.0,,,,,,
631,1.0,,1.0,,,1.0,,,,1.0,,,
632,,1.0,,,,,1.0,,,,,,
633,,,,,,,,,,,,,
634,1.0,,,,,,,,,1.0,,1.0,
635,,,,,,1.0,,,,,1.0,,
636,,,,,,,,,,,,,
637,1.0,1.0,,,1.0,,1.0,,,,,,
638,1.0,1.0,,,,,,,,,,,
639,,,,,1.0,,,,,1.0,,,
640,,1.0,,,,,,,,1.0,,,
641,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,
642,,,,,1.0,,1.0,,,1.0,,,1.0
643,,,,,,,,,,,1.0,,
644,,,,,,,,,,,,,
645,,1.0,,,,,,,,,,,
646,,,,,,,1.0,,,,,,
647,1.0,1.0,,,,,1.0,,,,,,
648,1.0,1.0,,,,,,,,,,,
649,,,,,,,,,,1.0,,,
650,,,,,,,,,,1.0,,,
651,,,,,,,,,,,,,
652,,,,,,,,,,,,,
653,,,,,,,1.0,,,,,,
654,,,,,,,,,1.0,1.0,,,
655,,,,,,,,,,,,,
656,,,,,,,,,,,,,
657,,,,,,,1.0,,,,,,
658,,,,,,,1.0,,,1.0,,,
659,,,,,,1.0,1.0,,,,,,
660,1.0,,,,,,,,,,,1.0,
661,,,,,,,1.0,,,,,,
662,,,,,,,,,,,,,
663,,,1.0,,,,,,,1.0,,,
664,,,,,,,1.0,1.0,,,,,1.0
665,,,,,,,,,,,1.0,,
666,,1.0,,,,,,,,,1.0,,
667,,,,,,,1.0,,,,,,
668,,,1.0,,,,,,,,,,
669,,,,,,,,,,,,,
670,1.0,1.0,,,,,,,,,,,
671,,,,,,,,1.0,,,,1.0,
672,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0
673,,,,,,,,,,,,,
674,,,,,1.0,,,,,,,,1.0
675,1.0,1.0,,,,,1.0,,,,,1.0,
676,,,,,,,,,1.0,,,,
677,,,,,,,,,1.0,,,,
678,,,,,,,,,,,,,
