Job_Id,asp.net,django,drupal,express,jquery,laravel,react.js,ruby on rails,spring,vue.js
138,,,,,,,,,1.0,
139,1.0,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,1.0,
143,,,,,,,,,1.0,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,1.0,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,1.0,
154,,,,,1.0,,,,1.0,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,1.0,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,1.0,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,1.0,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,1.0,,,1.0
176,,,,,,,,,,
177,,1.0,,,,,,,,
178,,,,,,,,,,
179,,1.0,,,,,1.0,,,1.0
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,1.0,,,,,,1.0,,1.0,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,1.0,,1.0,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,1.0,,1.0,,,
217,,,,,,,1.0,,,
218,,,,,,,,,1.0,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,1.0,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,1.0,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,1.0,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,1.0,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,1.0,
264,,,,,,,,,,
265,,,,,1.0,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,1.0,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,1.0,
274,,,,,,,1.0,,,
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,1.0,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,1.0,,,
283,,,,,,,,,,
284,,,,,,,1.0,,,
285,1.0,,,,,,,,,
286,,,,,,,,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,1.0,,,
297,,,,,,,1.0,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,1.0,,,,,,,,,
301,,,,,,,,,,
302,,,,,,,,,,
303,,,,,,,,,,
304,,,,,,,,,,
305,,,,,,,,,,
306,,,,,,,,,,
307,,,,,,,,,,
308,,,,,1.0,,,,,
309,,,,,,,1.0,,,
310,,,,,,,1.0,,,
311,,,,,,,1.0,,,
312,,,,,,,1.0,,,
313,,,,,,,,,,
314,,,,,,,1.0,,,
315,,,,,,,,,,
316,,,,,,,,,,
317,,,,,,,,,,
318,,,,,,,,,,
319,,,,,,,,,,
320,,,,,,,,,,
321,,,,,,,,,,
322,,,,,,,,,,
323,,,,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,,,,1.0,,,,,
328,,,,,,,1.0,,1.0,
329,,,,,,,,,,
330,,,,,,,,,,
331,,,,,,,,,,
332,,,,,,,,,,
333,,,,,,,,,,
334,,,,,,,,,,
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,,,,,,,,,,
339,,,,,,,,,,
340,,,,,,,,,,
341,1.0,,,,,,,,,
342,,,,,,,,,,
343,,,,,,,,,,
344,,,,,,,,,,
345,,,,,,,,,,
346,,,,,1.0,,,,1.0,
347,,,,,,,1.0,,1.0,
348,,,,,,,,,,
349,1.0,,,,,,,,,
350,,,,,1.0,,1.0,,,
351,1.0,,,,,,,,,
352,,,,,,,,,,
353,1.0,,,,,,,,,
354,,,,,,,,,,
355,,,,,,,,,1.0,
356,,,,,,,,,,
357,,,,,,,,,,
358,,,,,,,,,,
359,,,,,,,,,,
360,,,,,,,,,,
361,,,,,,,1.0,,,
362,,,,,,,,,,
363,,,,,,,,,,
364,,,,,,,,,,
365,,,,,,,,,,
366,,,,,,,,,,
367,,,,,,,,,,
368,,,,,,,,,,
369,,,,,,,,,,
370,,,,,,,,,,
371,,,,,1.0,,,1.0,,
372,,,,,,,,,,
373,,,,,,,,,,
374,,,,,,,,,,
375,,,,,,,,,,
376,,,,,,,,,,
377,,,,,,,1.0,,,
378,,,,,,,1.0,,,
379,,,,,,,,,,
380,,,,,,,,,,
381,,,,,,,,,,
382,,,,,,,,,,
383,,,,,,,,,,
384,,,,,1.0,,1.0,,,
385,,,,,,,,,,
386,,,,,,,,,,
387,,,,,,,,,,
388,,,,,,,,,,
389,,,,,,,,,,
390,,,,,,,,,,
391,,,,,,,,,,
392,,,,,,,,,,
393,,,,,1.0,,,,,
394,,,,,,,,,,
395,,,,,,,,,,
396,,,,,,,,,,
397,,,,,,,,,,
398,1.0,,,,1.0,,,,,
399,,,,,,,,,,
400,,,,,,,,,,
401,,,,,,,,,,
402,,,,,,,,,1.0,
403,,,,,,,1.0,,,
404,,,,,,,,,,
405,,,,,,,,,1.0,
406,,,,,,,,,1.0,
407,,,,,,,,,1.0,
408,,,,,,,,,,
409,,,,,,,,,,
410,,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,,,,,,,,,,
414,1.0,,,,,,,,,
415,,,,,,,,,,
416,1.0,,,,,,,,,
417,,,,,,,1.0,1.0,,
418,,,,,,,,,,
419,,,,,,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,,,,,,,
423,,,,,,,,,,
424,,,,,,,,,,
425,,,,,,,,,1.0,
426,,,,,,,,,1.0,
427,,,,,,,,,,
428,,,,,,,,,,
429,,,,,,,,,1.0,
430,,,,,,,,,1.0,
431,,,,,,,,,,
432,,,,,,,,,,
433,,,,,,,,,,
434,,,,,,,,,,
435,,,,,,,,,,
436,,,,,,,,,,
437,,,,,,,,,,
438,1.0,,,,1.0,,,,,
439,,,,,,,,,1.0,
440,,,,,,,,,,
441,,,,,,,,,,
442,,,,,,,,,,
443,,,,,,,,,,
444,,,,,,,,,,
445,,,,,,,,,,
446,,,,,,,,,,
447,,,,,,,,,,
448,,,,,,,,,,
449,,,,,,,,,1.0,
450,,,,,,,,,,
451,,,,,,,,,,
452,,,,,,,,,,
453,,,,,,,,,,
454,,,,,,,,,,
455,,,,,,,,,,
456,,,,,,,,,,
457,,,,,,,,,,
458,,,,,,,,,,
459,,,,,,,,,,
460,,,,,,,,,,
461,,,,,,,,,,
462,,,,,,,,,1.0,
463,,,,1.0,1.0,,,,1.0,
464,,,,,,,,,1.0,
465,,,,,,,,,,
466,,,,,,,,,,
467,,,,,,,,,,
468,,,,,,,,,,
469,1.0,,,,,,,,,
470,,,,,,,,,,
471,,,,,,,,,,
472,,,,,,,,,,
473,,,,,,,,,,
474,,,,,,,,,,
475,,,,,,,,,,
476,,,,,,,,,,
477,,,,,,,,,,
478,,,,,1.0,,,,1.0,
479,,,,,,,,,,
480,,,,,,,,,,
481,,,,,,,1.0,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,,,,,,
485,,,,,,,,,,
486,,,,,,,,,1.0,
487,,,,,,,1.0,,1.0,
488,,,,,,,,,,
489,,,,,,,,,,
490,,,,,,,,,,
491,,,,,,,,,,
492,,,,,,,1.0,,1.0,
493,,,,,,1.0,,,,1.0
494,,,,,,,,,,
495,,,,,,,,,,
496,,,,,,,,,,
497,,,,,,,,,,
498,,,,,,,,,,
499,,,,,,,,,,
500,,,,,,,,,,
501,,,,,,,,,,
502,1.0,,,,,,,,,
503,,,,,,,,,,
504,,,,,,,,,,
505,1.0,,,,,,,,,
506,,,,,,,,,,
507,,,,,,,,,,
508,,,,,,,,,,
509,,,,,,,,,,
510,,,,,,,,,,
511,,,,,,,,,,
512,,,,,,,1.0,,,
513,,,,,,,,,,
514,,,,,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,,,,,,,,,,
519,,,,,,,,,,
520,,,,,,,,,,
521,,,,,,,1.0,,,
522,,,,,,,1.0,,,
523,,,,,,,,,,
524,,,,,,,,,,
525,,,,,,,,,,
526,,,,,1.0,,,1.0,,
527,,,,,,,,,,
528,,,,,,,,,,
529,,,,,,,,,,
530,1.0,,,,,,,,,
531,,,,,,,1.0,,,
532,,,,,,,,,,
533,,,,,,,,,,
534,,,,,,,,,,
535,,,,,,,,,,
536,,,,,,,,,,
537,,,,,,,1.0,,,
538,,,,,,,,,,
539,,,,,,,,,,
540,,,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,
543,,,,,,,,,,
544,1.0,,,,,,,,,
545,,,,,,,,,,
546,,,,,,,,,,
547,,,,,,,1.0,,,
548,,,,,,,,,,
549,,,,,,,,,,
550,,,,,,,,1.0,,
551,1.0,,,,1.0,,,,,
552,,,,,,,,,,
553,,,,,1.0,,1.0,,,
554,1.0,,,,,,,,,
555,,,,,,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
558,,,,,,,,,,
559,,,,,,,,,,
560,,,,,,,,1.0,,
561,,,,,,,,,,
562,,,,,,,,,,
563,,,,,,,,,,
564,,,,,,,,,1.0,
565,,,,,,,,,,
566,,,,,,,,,,
567,,,,,,,,,,
568,,1.0,,,,,,,,
569,,,,,,,,,,
570,,,,,,,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,1.0,,,
577,,,,,,,,,,
578,,,,,,,,,,
579,,,,,,,,,,
580,,,,,1.0,,,1.0,,
581,,,,,,,,,,
582,,,,1.0,,,,,,
583,,,,,,,,,,
584,,,,,,,,,,
585,,,,1.0,,,,,,
586,,,,1.0,,,,,,
587,,,,,,,,,,
588,,,,1.0,,,,,,
589,,,,,,,,,,
590,,,,,,,,,,
591,,,,1.0,,,,,,
592,,,,1.0,,,,,,
593,,,,,,,,,,
594,,,,,,,,1.0,,
595,,,,,,,,,,
596,,,,,,,,,,
597,,,,,,,,,,
598,,,,,,,,,,
599,,,,,,,,,,
600,,,,,,,1.0,,,
601,1.0,,,,,,,,,
602,,,,,,,,,,
603,,,,,,,,,,
604,,,,,,,,,,
605,,,,,,,,,,
606,,,,,,,1.0,,,
607,,,,,,,1.0,,,
608,,,,,,,,,,
609,,,,,,,1.0,,,
610,,,,,,,,,,
611,,,,,,,,,,
612,,,1.0,,,,,,,
613,,,,,,,,,,
614,,,,,,,,,,
615,,,,,1.0,,,,1.0,
