Job_Id,cassandra,elasticsearch,microsoft sql server,mongodb,mysql,oracle,postgresql,redis
161,,,,,1.0,,,1.0
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,1.0,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,1.0,,,,,
182,,,,,,,,
183,,,1.0,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,1.0,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,1.0,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,1.0,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,1.0,,,,,,1.0,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,1.0,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,1.0,,,,,
246,,,1.0,,,,,
247,,,,,,,,
248,,,,,,,,
249,1.0,,,,1.0,,,
250,,,,,,1.0,1.0,
251,,1.0,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,1.0,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,1.0,1.0,
264,,,,,,,,
265,1.0,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,1.0,,,1.0
271,,,,,,,,
272,,,,,,,,
273,,,,1.0,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,1.0,,,1.0,,,,1.0
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,1.0,,,
286,,,,,1.0,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,1.0,,,,,
291,,,1.0,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,1.0,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,1.0,1.0,,
298,,,,,,1.0,,
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,1.0,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,1.0,,,,,1.0,1.0,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,1.0,,,,,1.0,1.0,
326,,,,,,,,
327,,,,,,,,
328,1.0,,,,,1.0,,1.0
329,,,,,,,,
330,,,,,,1.0,,
331,,,,,,1.0,,
332,,,,,,1.0,,
333,1.0,,,,,1.0,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,1.0,,
337,,,,,,,,
338,,,,1.0,,1.0,,
339,,,,1.0,,,,
340,,,,,,,,
341,,,,,,1.0,,
342,,,,,,1.0,,
343,,,1.0,,,,,
344,,,,,,,,
345,,,,,,,,
346,1.0,1.0,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,1.0,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,1.0,1.0
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,1.0,1.0,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,1.0,,,,,
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,1.0,,,,,
400,,,,,,,,
401,,,,,,,,
402,,,,,,,1.0,
403,,,,,,,,
404,,,,,,,,
405,,,,,,,1.0,
406,,,,,,,1.0,
407,,,,,,,1.0,
408,,,1.0,,,,,
409,,,1.0,,,,,
410,,,,,,,,
411,,,,,,,,
412,,,1.0,,,,,
413,,,,,,,,
414,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,,,,,,,,
420,,,1.0,,,,,
421,,,,,,,,
422,,,,,,,,
423,,,1.0,,,,,
424,,,1.0,,,,,
425,,,,,,,1.0,
426,,,,,,,1.0,
427,,,,,,,,
428,,,,,,,,
429,,,1.0,,,,,
430,,,,,,,1.0,
431,,,,,,,,
432,,,,,,,,
433,,,1.0,,,,,
434,,,,,,1.0,,
435,,,1.0,,,,,
436,,,,,,,,
437,,,1.0,,,,,
438,,,,,,,,
439,,,,,,,,
440,,,,,,,,
441,,,,,,,,
442,,,,,,1.0,,
443,,,,,,,,
444,,,,,,,,
445,,,,,,,,
446,,,,,,,,
447,,,,,,,,
448,,,,,,,,
449,,,,,1.0,1.0,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,,1.0,,,,,,
459,,,,,,,,
460,,,,,,,,
461,,,,,,,,
462,,,,,,,,1.0
463,,,,,,,,
464,,,,,,,,1.0
465,,,,,,,,
466,,,,,,,,
467,1.0,,,,,,,
468,,,,,1.0,1.0,,
469,,,,,,,,
470,,,,,,,,
471,,,,,,,,
472,,,,,,,,
473,,,,,,,,
474,,,,,,,,
475,,,,,,,,
476,,,,,,,,
477,,,,,,,,
478,1.0,,,1.0,,,,
479,1.0,,,,,,,
480,,,,,,1.0,,
481,,,,,,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,,
485,,,,,,,,
486,1.0,,,1.0,,,,
487,1.0,1.0,,1.0,1.0,1.0,,1.0
488,,,,,,,,
489,,,,,,,,
490,,,,,,,,
491,,,,,,,,
492,,,,,,,,
493,,,,,,,,
494,,,,,,,,
495,,,,,,,,
496,,,,,,,,
497,,,,,,,,
498,,,,1.0,,,,
499,,,,,,,,
500,,,,,,,,
501,,,,,,,,
502,,,,,,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,,,,,
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,,,,,
513,,,,,,,,
514,,,,,,,,
515,,,,,,,,
516,,,,,1.0,,,
517,,,,,,,,
518,,,,,,,,
519,,,,,,,,
520,,,,,,,,
521,,,,,,,,
522,,,,,,,,
523,,,,,,,,
524,,,,,,,,
525,,1.0,,,,,,
526,,,,,,,1.0,1.0
527,,,,,,,,
528,,,,,,,,
529,,,,,,,,
530,,,,,,,,
531,,,,,,,,
532,,,,,,,1.0,
533,,,,,,,,
534,,,,,,,,
535,,,,,,,,
536,,,,,,,,
537,,,,,,,,
538,,,,,,,,
539,,,,,,,,
540,,,,,,,,
541,,,,,,,1.0,
542,,,,,,,,
543,,,,,,1.0,,
544,,,,,1.0,,,
545,,,,,,,,
546,,,,,,,,
547,,1.0,,,,,,
548,,,,,,,,
549,1.0,,,1.0,,,,1.0
550,,1.0,,,,,,
551,,,,,,,,
552,,,,,,,,
553,,,,,,,,
554,,,,,,,,
555,,,,,,1.0,,
556,,,,,,,,
557,,,,,,,,
558,,,,,,,,
559,,,,,,,,
560,,,,,1.0,,,
561,,,,,,,,
562,,,,,,,,
563,,,,,,,,
564,,,,,,,,
565,,,,,,,,
566,,,,,,,,
567,,,,,,,,
568,,,,,1.0,,,1.0
569,,,,,,,,
570,,,,1.0,,,,
571,,,,,,,,
572,,,,,1.0,,,1.0
573,,,,,,,,
574,,,,,,,,
575,,,,,,,,
576,,,,,,,,
577,,,,,,,,
578,,,,,,,,
579,,,,,,,,
580,,,,1.0,,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,,,,
584,,,,,,,,
585,,,,,,,,
586,,,,,,,,
587,,,,,,,,
588,,,,,,,,
589,,,,,,,,
590,,,,,,,,
591,,,,,,,,
592,,,,,,,,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,,,
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,,,,,
606,,1.0,,,,,,
607,,,,,,,,
608,,,1.0,,,1.0,,
609,,,,,,,,
610,,,,,,,,
611,,,,,,,,
612,,,,,,,,
613,,,,,,,,
614,,,,,,,,
615,,,,,,,,
